discharge,datetime
1260.0,1965-10-08
1100.0,1965-10-09
1050.0,1965-10-10
1010.0,1965-10-11
970.0,1965-10-12
925.0,1965-10-13
900.0,1965-10-14
880.0,1965-10-15
990.0,1965-10-16
1010.0,1965-10-17
995.0,1965-10-18
915.0,1965-10-19
925.0,1965-10-20
910.0,1965-10-21
875.0,1965-10-22
835.0,1965-10-23
795.0,1965-10-24
880.0,1965-10-25
770.0,1965-10-26
710.0,1965-10-27
690.0,1965-10-28
680.0,1965-10-29
655.0,1965-10-30
635.0,1965-10-31
620.0,1965-11-01
605.0,1965-11-02
575.0,1965-11-03
550.0,1965-11-04
550.0,1965-11-05
540.0,1965-11-06
530.0,1965-11-07
525.0,1965-11-08
520.0,1965-11-09
515.0,1965-11-10
505.0,1965-11-11
500.0,1965-11-12
480.0,1965-11-13
480.0,1965-11-14
464.0,1965-11-15
456.0,1965-11-16
448.0,1965-11-17
440.0,1965-11-18
428.0,1965-11-19
416.0,1965-11-20
412.0,1965-11-21
420.0,1965-11-22
424.0,1965-11-23
416.0,1965-11-24
542.0,1965-11-25
440.0,1965-11-26
472.0,1965-11-27
460.0,1965-11-28
452.0,1965-11-29
440.0,1965-11-30
432.0,1965-12-01
396.0,1965-12-02
376.0,1965-12-03
364.0,1965-12-04
344.0,1965-12-05
340.0,1965-12-06
336.0,1965-12-07
336.0,1965-12-08
332.0,1965-12-09
320.0,1965-12-10
324.0,1965-12-11
332.0,1965-12-12
316.0,1965-12-13
312.0,1965-12-14
304.0,1965-12-15
296.0,1965-12-16
292.0,1965-12-17
288.0,1965-12-18
304.0,1965-12-19
368.0,1965-12-20
408.0,1965-12-21
372.0,1965-12-22
336.0,1965-12-23
316.0,1965-12-24
296.0,1965-12-25
288.0,1965-12-26
268.0,1965-12-27
260.0,1965-12-28
252.0,1965-12-29
244.0,1965-12-30
237.0,1965-12-31
231.0,1966-01-01
234.0,1966-01-02
234.0,1966-01-03
234.0,1966-01-04
228.0,1966-01-05
222.0,1966-01-06
219.0,1966-01-07
213.0,1966-01-08
207.0,1966-01-09
237.0,1966-01-10
231.0,1966-01-11
225.0,1966-01-12
216.0,1966-01-13
204.0,1966-01-14
198.0,1966-01-15
192.0,1966-01-16
189.0,1966-01-17
183.0,1966-01-18
180.0,1966-01-19
180.0,1966-01-20
174.0,1966-01-21
174.0,1966-01-22
177.0,1966-01-23
180.0,1966-01-24
186.0,1966-01-25
177.0,1966-01-26
171.0,1966-01-27
168.0,1966-01-28
165.0,1966-01-29
162.0,1966-01-30
156.0,1966-01-31
153.0,1966-02-01
150.0,1966-02-02
148.0,1966-02-03
146.0,1966-02-04
146.0,1966-02-05
153.0,1966-02-06
162.0,1966-02-07
174.0,1966-02-08
168.0,1966-02-09
162.0,1966-02-10
146.0,1966-02-11
144.0,1966-02-12
140.0,1966-02-13
138.0,1966-02-14
138.0,1966-02-15
136.0,1966-02-16
132.0,1966-02-17
128.0,1966-02-18
126.0,1966-02-19
126.0,1966-02-20
126.0,1966-02-21
124.0,1966-02-22
122.0,1966-02-23
120.0,1966-02-24
120.0,1966-02-25
120.0,1966-02-26
118.0,1966-02-27
118.0,1966-02-28
118.0,1966-03-01
116.0,1966-03-02
116.0,1966-03-03
116.0,1966-03-04
114.0,1966-03-05
114.0,1966-03-06
112.0,1966-03-07
112.0,1966-03-08
109.0,1966-03-09
108.0,1966-03-10
108.0,1966-03-11
108.0,1966-03-12
108.0,1966-03-13
107.0,1966-03-14
106.0,1966-03-15
105.0,1966-03-16
104.0,1966-03-17
103.0,1966-03-18
102.0,1966-03-19
101.0,1966-03-20
103.0,1966-03-21
105.0,1966-03-22
107.0,1966-03-23
110.0,1966-03-24
114.0,1966-03-25
124.0,1966-03-26
120.0,1966-03-27
118.0,1966-03-28
120.0,1966-03-29
118.0,1966-03-30
118.0,1966-03-31
81.0,1967-04-01
81.0,1967-04-02
79.0,1967-04-03
78.0,1967-04-04
76.0,1967-04-05
75.0,1967-04-06
75.0,1967-04-07
79.0,1967-04-08
82.0,1967-04-09
81.0,1967-04-10
79.0,1967-04-11
77.0,1967-04-12
81.0,1967-04-13
82.0,1967-04-14
84.0,1967-04-15
87.0,1967-04-16
89.0,1967-04-17
93.0,1967-04-18
98.0,1967-04-19
103.0,1967-04-20
109.0,1967-04-21
114.0,1967-04-22
109.0,1967-04-23
108.0,1967-04-24
116.0,1967-04-25
128.0,1967-04-26
134.0,1967-04-27
192.0,1967-04-28
204.0,1967-04-29
108.0,1967-04-30
165.0,1967-05-01
122.0,1967-05-02
114.0,1967-05-03
109.0,1967-05-04
107.0,1967-05-05
107.0,1967-05-06
122.0,1967-05-07
128.0,1967-05-08
132.0,1967-05-09
124.0,1967-05-10
112.0,1967-05-11
108.0,1967-05-12
101.0,1967-05-13
96.0,1967-05-14
95.0,1967-05-15
101.0,1967-05-16
112.0,1967-05-17
128.0,1967-05-18
165.0,1967-05-19
180.0,1967-05-20
168.0,1967-05-21
136.0,1967-05-22
128.0,1967-05-23
198.0,1967-05-24
159.0,1967-05-25
144.0,1967-05-26
136.0,1967-05-27
146.0,1967-05-28
177.0,1967-05-29
217.0,1967-05-30
336.0,1967-05-31
364.0,1967-06-01
340.0,1967-06-02
308.0,1967-06-03
476.0,1967-06-04
600.0,1967-06-05
770.0,1967-06-06
1080.0,1967-06-07
940.0,1967-06-08
820.0,1967-06-09
635.0,1967-06-10
590.0,1967-06-11
1170.0,1967-06-12
1470.0,1967-06-13
1200.0,1967-06-14
850.0,1967-06-15
640.0,1967-06-16
545.0,1967-06-17
490.0,1967-06-18
472.0,1967-06-19
436.0,1967-06-20
404.0,1967-06-21
380.0,1967-06-22
356.0,1967-06-23
340.0,1967-06-24
368.0,1967-06-25
416.0,1967-06-26
420.0,1967-06-27
452.0,1967-06-28
515.0,1967-06-29
545.0,1967-06-30
595.0,1967-07-01
590.0,1967-07-02
550.0,1967-07-03
485.0,1967-07-04
420.0,1967-07-05
440.0,1967-07-06
545.0,1967-07-07
820.0,1967-07-08
925.0,1967-07-09
1390.0,1967-07-10
1690.0,1967-07-11
1530.0,1967-07-12
1470.0,1967-07-13
1700.0,1967-07-14
1650.0,1967-07-15
1340.0,1967-07-16
1200.0,1967-07-17
1200.0,1967-07-18
1060.0,1967-07-19
945.0,1967-07-20
1090.0,1967-07-21
1330.0,1967-07-22
975.0,1967-07-23
1010.0,1967-07-24
1120.0,1967-07-25
1570.0,1967-07-26
1710.0,1967-07-27
1510.0,1967-07-28
1390.0,1967-07-29
1780.0,1967-07-30
1720.0,1967-07-31
1780.0,1967-08-01
1750.0,1967-08-02
1790.0,1967-08-03
1930.0,1967-08-04
2090.0,1967-08-05
1590.0,1967-08-06
2470.0,1967-08-07
