,rid,uniqueid,identifier,locationidentifier,country,countrycode,stationname,stationcode,parameter,label,unit,interval,utcoffset,correctedstarttime,starttime,correctedendtime,endtime,river,stationshortname,latitude,longitude
1538,1719,61fb0343ad58483697563d0813308efe,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KH_KNR_[Koh Norea],Cambodia,KH,Koh Norea,KNR,Discharge,Measured DSMP,m^3/s,Unknown,7,2011-06-03 17:00:00,20110603,2018-12-18 17:00:00,20181218,Mekong,,11.5388,104.97200000000001
1745,1689,86badbce59c04864bccd35961d25b20f,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],KH_SKB_[Sekong Bridge],Cambodia,KH,Sekong Bridge,SKB,Discharge,Measured DSMP,m^3/s,Unknown,7,2012-08-10 17:00:00,20120810,2018-12-22 17:00:00,20181222,Sekong,,13.5318,105.9719
2604,1678,948865d904f04824918b5da5d4d30145,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],KH_OSP_[OSP-MRC],Cambodia,KH,OSP-MRC,OSP,Discharge,Measured DSMP,m^3/s,Unknown,7,2011-06-01 17:00:00,20110601,2018-12-18 17:00:00,20181218,Bassac,,11.5631,104.9347
