datetime,observation,prediction
2012-01-01,6243.2881349012305,156.97758000000005
2012-01-02,6100.976204644941,153.48972
2012-01-03,5959.0320455573965,149.96164
2012-01-04,5811.258311042927,146.69798
2012-01-05,5685.436134668377,143.82343999999995
2012-01-06,5558.0422593162875,140.92824
2012-01-07,5458.265221488472,138.91766
2012-01-08,5413.081980179362,139.71725
2012-01-09,5346.6061604297365,137.49553
2012-01-10,5824.3,132.67223
2012-01-11,5207.328088195185,128.15884
2012-01-12,5125.599490384262,124.24428
2012-01-13,5033.11612496444,120.80171
2012-01-14,4910.607500737468,118.021675
2012-01-15,4815.4020294557895,115.742905
2012-01-16,4681.371272961098,113.62106
2012-01-17,4535.315910494909,113.90417
2012-01-18,4429.575039488364,121.64254
2012-01-19,4295.837135694813,126.636925
2012-01-20,4197.1192663981055,128.55157
2012-01-21,4132.14273309465,140.08305
2012-01-22,4074.0530280601615,160.55756
2012-01-23,4028.655620941513,158.98573000000005
2012-01-24,4691.9,164.4411
2012-01-25,3879.5749352367247,185.15874
2012-01-26,3779.6611999223896,176.02008
2012-01-27,3734.771089016494,173.3809
2012-01-28,3673.988433464169,183.68237
2012-01-29,3616.235065245045,178.26561999999996
2012-01-30,3538.229032583073,182.25623
2012-01-31,3486.4778232062777,189.4036
2012-02-01,3393.414841504148,165.10995
2012-02-02,3293.2289423754896,147.19905
2012-02-03,3196.9243270538395,186.19937
2012-02-04,3094.428617374769,180.3233
2012-02-05,3019.8653516811933,164.51398999999995
2012-02-06,2935.7915733651394,137.91722
2012-02-07,2869.8457010114503,121.04143
2012-02-08,2789.225407146501,109.95875
2012-02-09,3273.25,107.255295
2012-02-10,2719.820342516084,93.734795
2012-02-11,2666.2562157961584,84.229294
2012-02-12,2591.0310803329644,78.94555
2012-02-13,2532.232623428839,75.89049
2012-02-14,2442.352727219641,72.91415
2012-02-15,2342.6418778375305,70.93298
2012-02-16,2224.007510072044,70.67769
2012-02-17,2146.811884473249,70.565125
2012-02-18,2111.4171928106907,75.8072
2012-02-19,2084.9083758066336,89.71446
2012-02-20,2070.881169833778,87.7353
2012-02-21,2475.75,84.0405
2012-02-22,2009.065355096207,100.53239
2012-02-23,1916.4661158480085,140.57478
2012-02-24,1869.6760127109594,176.85248
2012-02-25,1804.9630534305545,157.47571000000005
2012-02-26,1724.4416946299616,121.480446
2012-02-27,1647.650651093254,87.67363
2012-02-28,1623.922753548827,67.093765
2012-02-29,1570.0870766641044,61.44402
2012-03-01,1547.608436528955,65.17196
2012-03-02,1526.4557611351509,68.33485999999999
2012-03-03,1491.2429497511262,66.43127
2012-03-04,1433.5297470547491,64.55213
2012-03-05,1824.85,63.896828
2012-03-06,1352.4131889600274,68.35174599999999
2012-03-07,1369.2335489454326,86.4031
2012-03-08,1376.3849911893515,81.92173000000003
2012-03-09,1376.6401728144822,67.56679
2012-03-10,1392.6598683966995,61.40463
2012-03-11,1426.155092081185,68.6994
2012-03-12,1450.7446030901147,87.67251999999998
2012-03-13,1413.7914406124974,118.32062
2012-03-14,1377.6975052510609,164.4236
2012-03-15,1337.907879652594,224.84697000000003
2012-03-16,1284.5946631548825,273.63507000000004
2012-03-17,1225.9251189581896,242.2716
2012-03-18,1146.1848641558674,155.97683999999995
2012-03-19,1086.738945966297,91.45988
2012-03-20,1058.8798256637583,66.848625
2012-03-21,1035.0628926465822,73.6229
2012-03-22,1015.6989056028716,94.55335
2012-03-23,995.6182909048123,112.56378
2012-03-24,982.3386213363057,125.68881
2012-03-25,985.5023887181276,119.42803
2012-03-26,1020.8489226031217,123.94832
2012-03-27,1043.5502420045937,162.88217
2012-03-28,1006.7826666949178,201.53334
2012-03-29,968.3472946091896,269.25983
2012-03-30,912.5607622459056,243.17336
2012-03-31,854.1147587432101,175.63301
2012-04-01,802.3585211356259,128.77733999999998
2012-04-02,761.5248677594948,87.759476
2012-04-03,740.2959284037939,56.381477
2012-04-04,746.9813708508258,48.41457
2012-04-05,783.2100902928894,63.52365
2012-04-06,817.0600052930615,76.62429
2012-04-07,846.8491840460074,74.29969
2012-04-08,899.1339646705226,87.11272
2012-04-09,979.3424574994926,124.7006
2012-04-10,1001.7976955576379,183.80957
2012-04-11,996.2246877607828,240.9218
2012-04-12,958.610043001692,257.2814
2012-04-13,906.8614958510776,276.83203
2012-04-14,839.3195091755717,292.4345
2012-04-15,785.7551748180313,293.51184
2012-04-16,763.4785005710927,298.91553
2012-04-17,750.9182392224568,297.24838
2012-04-18,756.6169182424816,273.67456
2012-04-19,769.8381817365738,244.08723
2012-04-20,783.7127530244122,233.21005
2012-04-21,802.5755052351392,218.53767
2012-04-22,807.3639637871124,178.60299999999995
2012-04-23,796.1664312034994,142.46237
2012-04-24,791.3774895357782,117.85573
2012-04-25,792.7016966349106,102.22966
2012-04-26,780.042471347008,101.12646
2012-04-27,807.1672928100809,76.59093
2012-04-28,790.9968070324428,56.94766600000001
2012-04-29,770.3790769094957,55.940247
2012-04-30,750.7055503130646,60.134533
2012-05-01,492.8882654706372,63.55583000000001
2012-05-02,485.6104401652221,76.91179
2012-05-03,478.056076574838,104.84806
2012-05-04,472.6775898831043,148.30965
2012-05-05,473.58957420250084,178.65617
2012-05-06,493.2603283822657,158.00322
2012-05-07,516.2166381459889,110.71676
2012-05-08,554.8025506617726,104.13047
2012-05-09,566.0339057540704,172.82706000000005
2012-05-10,554.3429374647475,324.2852200000001
2012-05-11,536.6459865099326,387.53967
2012-05-12,509.9902425522423,423.1392
2012-05-13,489.0510500171576,391.4464
2012-05-14,474.2817551068047,309.85333
