datetime,observation,prediction
2012-01-01,381.78686063209676,165.17986000000005
2012-01-02,320.0164033114318,176.00038
2012-01-03,242.46000712218844,167.3665
2012-01-04,392.16082286497664,157.03842
2012-01-05,509.2238431588442,161.98767
2012-01-06,462.8795931752082,175.89831999999996
2012-01-07,356.44358500527994,172.27598999999995
2012-01-08,327.14919281534026,153.58798000000004
2012-01-09,283.2666593422675,139.00092
2012-01-10,267.8740751265196,133.63326999999998
2012-01-11,324.7631083960265,132.09323
2012-01-12,299.076735123911,130.86902
2012-01-13,246.6102024094321,133.46602
2012-01-14,236.2989026110104,130.83455
2012-01-15,234.26232631760033,126.92832
2012-01-16,220.24626147644798,134.81683
2012-01-17,200.95289143006138,168.54873999999995
2012-01-18,236.2989026110104,176.68655
2012-01-19,259.266011153659,154.93913
2012-01-20,259.266011153659,148.34235
2012-01-21,248.69813156343784,163.00271999999995
2012-01-22,232.23431611533627,168.42789
2012-01-23,187.95929867459668,167.80756
2012-01-24,232.23431611533627,175.93568
2012-01-25,226.20170316912998,162.628
2012-01-26,248.69813156343784,117.61167
2012-01-27,220.24626147644798,96.46731
2012-01-28,212.42581752204293,91.81104
2012-01-29,234.26232631760033,90.671616
2012-01-30,224.20797849543072,91.09253
2012-01-31,240.39774509513416,93.792496
2012-02-01,232.23431611533627,91.61349
2012-02-02,191.62869092739777,91.44983
2012-02-03,202.8435506926785,95.03906
2012-02-04,184.32438483615522,97.35009
2012-02-05,163.24002954279996,102.69507
2012-02-06,163.24002954279996,93.62632
2012-02-07,159.84700958967727,85.16888
2012-02-08,222.22283054546688,83.24264000000002
2012-02-09,216.3188686624586,78.52959
2012-02-10,210.49217558533195,73.079285
2012-02-11,199.07083549028962,70.67885600000002
2012-02-12,212.42581752204293,68.25165600000001
2012-02-13,206.650670086303,66.13204
2012-02-14,208.56712569590854,64.92568
2012-02-15,210.49217558533195,63.761547
2012-02-16,197.1973851629068,61.73128000000001
2012-02-17,208.56712569590854,60.58195500000001
2012-02-18,220.24626147644798,59.43813000000001
2012-02-19,206.650670086303,57.481503
2012-02-20,206.650670086303,56.076767
2012-02-21,145.00735192738057,56.179188
2012-02-22,255.01322062658852,70.66886
2012-02-23,292.24990847577686,94.29719
2012-02-24,232.23431611533627,92.976494
2012-02-25,248.69813156343784,86.3052
2012-02-26,228.20400241971316,67.49078
2012-02-27,212.42581752204293,58.51456999999999
2012-02-28,146.62150636135854,56.46001999999999
2012-02-29,193.4763105623199,54.728786
2012-03-01,312.96003163142103,53.31450699999999
2012-03-02,315.3036616922712,47.61385
2012-03-03,315.3036616922712,44.469685
2012-03-04,310.62489779034195,43.439255
2012-03-05,232.23431611533627,42.37331
2012-03-06,222.22283054546688,43.81362
2012-03-07,312.96003163142103,45.340225
2012-03-08,267.8740751265196,42.476604
2012-03-09,267.8740751265196,43.02507
2012-03-10,218.27827345603862,47.482487
2012-03-11,218.27827345603862,49.722622
2012-03-12,250.79461233591044,55.495525
2012-03-13,220.24626147644798,57.32776
2012-03-14,206.650670086303,44.19741
2012-03-15,204.74281100022625,36.08122
2012-03-16,191.62869092739777,35.671345
2012-03-17,141.80509500343553,36.113586
2012-03-18,135.5048660720112,34.2581
2012-03-19,121.83856603356934,32.82827
2012-03-20,137.06688073944005,32.03161
2012-03-21,177.1580687863586,32.91277
2012-03-22,261.40521975552485,36.482758
2012-03-23,234.26232631760033,48.274967
2012-03-24,204.74281100022625,55.004402
2012-03-25,170.12989761037517,61.68169
2012-03-26,204.74281100022625,82.70108
2012-03-27,189.7896861816693,78.26469
2012-03-28,248.69813156343784,55.28036
2012-03-29,210.49217558533195,43.94775
2012-03-30,218.27827345603862,34.621742
2012-03-31,248.69813156343784,29.493258
2012-04-01,220.24626147644798,27.654264
2012-04-02,156.48862636919162,32.811485
2012-04-03,242.46000712218844,78.189064
2012-04-04,518.1523944201399,190.45705
2012-04-05,457.23769022424784,331.1252
2012-04-06,371.5480760287119,613.9245
2012-04-07,349.00559485631203,774.6501
2012-04-08,341.64383537143175,442.1719
2012-04-09,381.78686063209676,188.52791
2012-04-10,351.4764570870932,130.0522
2012-04-11,344.0892822991727,95.030525
2012-04-12,334.35835252156954,49.91274
2012-04-13,440.51376329106967,38.176643
2012-04-14,407.9750005759842,70.275154
2012-04-15,363.95776037311316,141.70995
2012-04-16,324.7631083960265,121.12159
2012-04-17,353.95578769778535,101.80719
2012-04-18,344.0892822991727,77.19805
2012-04-19,312.96003163142103,65.10803
2012-04-20,303.67049161799576,69.36007
2012-04-21,327.14919281534026,64.32535
2012-04-22,299.076735123911,58.857616
2012-04-23,267.8740751265196,71.06665
2012-04-24,296.7926166509745,64.012566
2012-04-25,267.8740751265196,52.266804
2012-04-26,285.49969603924376,60.39892
2012-04-27,287.74125104824384,73.622086
2012-04-28,301.36936072519853,75.8652
2012-04-29,310.62489779034195,104.80517
2012-04-30,334.35835252156954,184.39856
2012-05-01,344.0892822991727,224.82854
2012-05-02,283.2666593422675,248.76083
2012-05-03,285.49969603924376,263.2821
2012-05-04,393.46706770279127,220.67967
2012-05-05,401.348847146972,140.8033
2012-05-06,363.95776037311316,101.51013
2012-05-07,302.5188631246643,84.18899
2012-05-08,480.0069207308586,88.990135
2012-05-09,498.90252588964694,280.1842
2012-05-10,426.8085424111576,444.6641
2012-05-11,396.0858882286376,334.82263
2012-05-12,324.7631083960265,224.01028
2012-05-13,340.4242899919461,205.54478
2012-05-14,477.13137259974053,197.1857
2012-05-15,352.715063950295,176.22742
2012-05-16,333.1515244215581,229.15515
