datetime,observation,prediction
2012-01-01,9590.338108424534,4268.124
2012-01-02,9404.367684645236,4154.8765
2012-01-03,9219.043436385147,4060.6787
2012-01-04,9015.943105347209,4007.8306
2012-01-05,8721.962033621723,3987.5369
2012-01-06,8648.736688087105,3980.8193
2012-01-07,8393.311472222616,3963.9475
2012-01-08,8429.717943085427,3902.0596
2012-01-09,8466.152157288363,3807.4746
2012-01-10,8393.311472222616,3712.6448
2012-01-11,8356.932822544828,3627.1038
2012-01-12,8393.311472222616,3559.1707
2012-01-13,8247.964586572241,3513.639
2012-01-14,8229.827776135222,3471.1746
2012-01-15,8103.067912828109,3406.0796
2012-01-16,8066.914695885868,3319.8357
2012-01-17,7922.588109646157,3238.3433
2012-01-18,7922.588109646157,3178.735
2012-01-19,7814.646122401156,3139.6145
2012-01-20,7545.943668474392,3110.2712
2012-01-21,7421.12064441655,3086.0
2012-01-22,7243.443299695918,3062.6843
2012-01-23,7563.805426463206,3042.082000000001
2012-01-24,7048.8824676921595,3016.6216
2012-01-25,7172.585928980543,3008.1934
2012-01-26,6960.7562276855615,3013.7646
2012-01-27,6995.983259850277,2993.5188
2012-01-28,6785.094211278081,2979.2349
2012-01-29,6820.163180646332,2981.1064
2012-01-30,6925.560600067064,2956.322
2012-01-31,7031.241594098836,2919.9658
2012-02-01,6855.263972153789,2922.4475
2012-02-02,6907.974595191165,2955.6882
2012-02-03,6837.709605249969,3010.0532
2012-02-04,6767.571693108315,3090.2295
2012-02-05,6732.550656664568,3094.8872
2012-02-06,6332.142964762881,3023.3843
2012-02-07,6228.407887889691,2918.2134
2012-02-08,5782.442217580107,2834.0642
2012-02-09,5748.381361741086,2781.4119
2012-02-10,5987.546311371425,2745.8386
2012-02-11,5782.442217580107,2698.8997
2012-02-12,6021.852257814431,2650.3853
2012-02-13,6056.192697157356,2608.0815
2012-02-14,5953.2749856402625,2557.2024
2012-02-15,5919.03840951416,2490.009
2012-02-16,5850.670027142748,2415.7778
2012-02-17,5919.03840951416,2342.0386
2012-02-18,5936.152345778124,2272.3723
2012-02-19,5901.933193131325,2218.334
2012-02-20,5867.748985488271,2187.0962
2012-02-21,5680.366426420388,2172.485
2012-02-22,5342.463747900401,2170.55
2012-02-23,5241.813020986218,2174.9077
2012-02-24,5008.28945781884,2183.099
2012-02-25,4941.9157567171915,2183.8696
2012-02-26,4776.670545533615,2143.3406
2012-02-27,4875.698861400717,2084.7905
2012-02-28,4875.698861400717,2028.2919
2012-02-29,4875.698861400717,1980.6324
2012-03-01,5074.81861617745,1939.138
2012-03-02,5308.876029515275,1902.3763
2012-03-03,5409.750850443411,1863.0543
2012-03-04,5174.900950127661,1813.7231
2012-03-05,5108.141077562643,1760.3596
2012-03-06,5208.338040117589,1717.0334
2012-03-07,5041.534688096465,1690.7382
2012-03-08,5308.876029515275,1682.9054
2012-03-09,4125.944893938361,1660.1088
2012-03-10,4190.252122073484,1620.7048
2012-03-11,4579.700843069346,1585.0991
2012-03-12,4958.494534580133,1562.5101
2012-03-13,4875.698861400717,1555.2947
2012-03-14,5074.81861617745,1564.9866
2012-03-15,5275.325735905657,1595.3099
2012-03-16,5325.665220174657,1649.9319
2012-03-17,5443.449933815832,1720.5939
2012-03-18,5108.141077562643,1766.9885
