stage,datetime,discharge,log_stage,log_discharge
6.04,1987-11-21,1491.0,0.7810369386211319,3.1734776434529945
6.06,1987-11-22,1513.0,0.7824726241662862,3.179838928023187
6.07,1987-11-23,1536.0,0.7831886910752576,3.186391215695493
6.08,1987-11-24,1564.0,0.7839035792727349,3.1942367487238292
6.04,1987-11-25,1601.0,0.7810369386211319,3.2043913319193
5.96,1987-11-26,1563.0,0.7752462597402364,3.193958978019187
5.86,1987-11-27,1513.0,0.7678976160180907,3.179838928023187
5.8,1987-11-28,1486.0,0.7634279935629372,3.1720188094245563
5.81,1987-11-29,1443.0,0.7641761323903307,3.159266331093494
5.92,1987-11-30,1417.0,0.7723217067229198,3.1513698502474603
5.96,1987-12-01,1284.0,0.7752462597402364,3.1085650237328344
5.91,1987-12-02,1235.0,0.7715874808812554,3.0916669575956846
5.84,1987-12-03,1175.0,0.7664128471123994,3.070037866607755
5.75,1987-12-04,1116.0,0.7596678446896304,3.04766419460156
5.66,1987-12-05,1077.0,0.7528164311882715,3.0322157032979815
5.57,1987-12-06,1030.0,0.7458551951737289,3.012837224705172
5.47,1987-12-07,996.0,0.7379873263334308,2.998259338423699
5.36,1987-12-08,962.0,0.7291647896927701,2.983175072037813
5.26,1987-12-09,932.0,0.7209857441537391,2.9694159123539814
5.16,1987-12-10,911.0,0.7126497016272114,2.9595183769729982
5.1,1987-12-11,902.0,0.7075701760979364,2.9552065375419416
5.02,1987-12-12,881.0,0.7007037171450193,2.9449759084120477
4.96,1987-12-13,872.0,0.6954816764901974,2.940516484932567
4.88,1987-12-14,864.0,0.6884198220027106,2.936513742478893
4.8,1987-12-15,847.0,0.6812412373755872,2.9278834103307068
4.73,1987-12-16,825.0,0.6748611407378116,2.916453948549925
4.67,1987-12-17,808.0,0.6693168805661122,2.907411360774586
4.6,1987-12-18,800.0,0.6627578316815741,2.9030899869919438
4.57,1987-12-19,796.0,0.6599162000698503,2.900913067737669
4.54,1987-12-20,783.0,0.6570558528571039,2.8937617620579434
4.5,1987-12-21,774.0,0.6532125137753437,2.8887409606828927
4.46,1987-12-22,757.0,0.6493348587121419,2.8790958795000727
4.42,1987-12-23,740.0,0.6454222693490919,2.8692317197309762
4.38,1987-12-24,728.0,0.6414741105040995,2.862131379313037
