discharge,datetime
6560.0,1962-01-07
6290.0,1962-01-08
6170.0,1962-01-09
5870.0,1962-01-10
5950.0,1962-01-11
6000.0,1962-01-12
5870.0,1962-01-13
5920.0,1962-01-14
5920.0,1962-01-15
5710.0,1962-01-16
5500.0,1962-01-17
5376.0,1962-01-18
5270.0,1962-01-19
5180.0,1962-01-20
4990.0,1962-01-21
4860.0,1962-01-22
4830.0,1962-01-23
4590.0,1962-01-24
4660.0,1962-01-25
4570.0,1962-01-26
4440.0,1962-01-27
4160.0,1962-01-28
4020.0,1962-01-29
4190.0,1962-01-30
4140.0,1962-01-31
3980.0,1962-02-01
4010.0,1962-02-02
3870.0,1962-02-03
3540.0,1962-02-04
3480.0,1962-02-05
3480.0,1962-02-06
3420.0,1962-02-07
3250.0,1962-02-08
3190.0,1962-02-09
2840.0,1962-02-10
2920.0,1962-02-11
2940.0,1962-02-12
2860.0,1962-02-13
2660.0,1962-02-14
2520.0,1962-02-15
2520.0,1962-02-16
2460.0,1962-02-17
2430.0,1962-02-18
2380.0,1962-02-19
2380.0,1962-02-20
2310.0,1962-02-21
2310.0,1962-02-22
2290.0,1962-02-23
2070.0,1962-02-24
2000.0,1962-02-25
1950.0,1962-02-26
1900.0,1962-02-27
1850.0,1962-02-28
1800.0,1962-03-01
1750.0,1962-03-02
1700.0,1962-03-03
1650.0,1962-03-04
1600.0,1962-03-05
1550.0,1962-03-06
1500.0,1962-03-07
1450.0,1962-03-08
1400.0,1962-03-09
1350.0,1962-03-10
1350.0,1962-03-11
1300.0,1962-03-12
1300.0,1962-03-13
1250.0,1962-03-14
1200.0,1962-03-15
1150.0,1962-03-16
1100.0,1962-03-17
1080.0,1962-03-18
1050.0,1962-03-19
1030.0,1962-03-20
1000.0,1962-03-21
950.0,1962-03-22
900.0,1962-03-23
850.0,1962-03-24
850.0,1962-03-25
800.0,1962-03-26
750.0,1962-03-27
700.0,1962-03-28
650.0,1962-03-29
600.0,1962-03-30
550.0,1962-03-31
10.0,1962-04-20
10.0,1962-04-21
10.0,1962-04-22
10.0,1962-04-23
10.0,1962-04-24
10.0,1962-04-25
20.0,1962-04-26
20.0,1962-04-27
20.0,1962-04-28
20.0,1962-04-29
20.0,1962-04-30
20.0,1962-05-01
20.0,1962-05-02
20.0,1962-05-03
30.0,1962-05-04
30.0,1962-05-05
30.0,1962-05-06
30.0,1962-05-07
40.0,1962-05-08
40.0,1962-05-09
50.0,1962-05-10
50.0,1962-05-11
50.0,1962-05-12
60.0,1962-05-13
60.0,1962-05-14
70.0,1962-05-15
80.0,1962-05-16
90.0,1962-05-17
100.0,1962-05-18
110.0,1962-05-19
120.0,1962-05-20
140.0,1962-05-21
150.0,1962-05-22
170.0,1962-05-23
190.0,1962-05-24
210.0,1962-05-25
250.0,1962-05-26
290.0,1962-05-27
340.0,1962-05-28
400.0,1962-05-29
480.0,1962-05-30
500.0,1962-05-31
610.0,1962-06-01
670.0,1962-06-02
610.0,1962-06-03
600.0,1962-06-04
580.0,1962-06-05
360.0,1962-06-06
240.0,1962-06-07
200.0,1962-06-08
180.0,1962-06-09
160.0,1962-06-10
220.0,1962-06-11
480.0,1962-06-12
660.0,1962-06-13
920.0,1962-06-14
1290.0,1962-06-15
1410.0,1962-06-16
1490.0,1962-06-17
1650.0,1962-06-18
2400.0,1962-06-19
3580.0,1962-06-20
4510.0,1962-06-21
4850.0,1962-06-22
4940.0,1962-06-23
3950.0,1962-06-24
3770.0,1962-06-25
3730.0,1962-06-26
3330.0,1962-06-27
2940.0,1962-06-28
2880.0,1962-06-29
3370.0,1962-06-30
1690.0,1962-07-05
2610.0,1962-07-06
1800.0,1962-07-09
2180.0,1962-07-10
2440.0,1962-07-11
2630.0,1962-07-12
2730.0,1962-07-13
4670.0,1962-07-14
4980.0,1962-07-15
7200.0,1962-07-16
7380.0,1962-07-17
7450.0,1962-07-18
7580.0,1962-07-19
7620.0,1962-07-20
7710.0,1962-07-21
6770.0,1962-07-26
6850.0,1962-07-27
7060.0,1962-07-28
7070.0,1962-07-29
6960.0,1962-07-30
6700.0,1962-08-02
7370.0,1962-08-03
7400.0,1962-08-04
7500.0,1962-08-05
8080.0,1962-08-06
8180.0,1962-08-07
8730.0,1962-08-08
9080.0,1962-08-09
9530.0,1962-08-10
9520.0,1962-08-12
9780.0,1962-08-13
8630.0,1962-08-16
8740.0,1962-08-17
8670.0,1962-08-18
8290.0,1962-08-19
4230.0,1962-08-27
3020.0,1962-08-30
3010.0,1962-08-31
2770.0,1962-09-01
3010.0,1962-09-02
3020.0,1962-09-04
2870.0,1962-09-05
2870.0,1962-09-06
2520.0,1962-09-07
2920.0,1962-09-08
4850.0,1962-09-09
5420.0,1962-09-10
5460.0,1962-09-11
5480.0,1962-09-12
2970.0,1962-09-18
2960.0,1962-09-19
2620.0,1962-09-20
3990.0,1962-09-21
4020.0,1962-09-22
4020.0,1962-09-23
3620.0,1962-09-24
2900.0,1962-09-25
2880.0,1962-09-26
2550.0,1962-09-27
2530.0,1962-09-28
1620.0,1962-09-29
880.0,1962-09-30
590.0,1962-10-01
540.0,1962-10-02
330.0,1962-10-03
270.0,1962-10-04
110.0,1962-10-05
605.0,1963-04-01
595.0,1963-04-02
585.0,1963-04-03
575.0,1963-04-04
565.0,1963-04-05
555.0,1963-04-06
540.0,1963-04-07
530.0,1963-04-08
520.0,1963-04-09
510.0,1963-04-10
500.0,1963-04-11
490.0,1963-04-12
482.0,1963-04-13
475.0,1963-04-14
466.0,1963-04-15
457.0,1963-04-16
450.0,1963-04-17
440.0,1963-04-18
432.0,1963-04-19
424.0,1963-04-20
416.0,1963-04-21
409.0,1963-04-22
400.0,1963-04-23
393.0,1963-04-24
386.0,1963-04-25
379.0,1963-04-26
371.0,1963-04-27
364.0,1963-04-28
358.0,1963-04-29
350.0,1963-04-30
343.0,1963-05-01
335.0,1963-05-02
330.0,1963-05-03
325.0,1963-05-04
319.0,1963-05-05
313.0,1963-05-06
