stage,datetime
8.32,1990-10-17
8.4,1990-10-18
8.52,1990-10-19
8.58,1990-10-20
8.63,1990-10-21
8.7,1990-10-22
8.74,1990-10-23
8.69,1990-10-24
8.6,1990-10-25
8.5,1990-10-26
8.4,1990-10-27
8.28,1990-10-28
8.15,1990-10-29
8.02,1990-10-30
7.88,1990-10-31
7.76,1990-11-01
7.66,1990-11-02
7.56,1990-11-03
7.46,1990-11-04
7.35,1990-11-05
7.23,1990-11-06
7.1,1990-11-07
7.01,1990-11-08
6.96,1990-11-09
6.92,1990-11-10
6.93,1990-11-11
6.98,1990-11-12
6.98,1990-11-13
6.93,1990-11-14
6.94,1990-11-15
7.01,1990-11-16
7.08,1990-11-17
6.99,1990-11-18
6.81,1990-11-19
6.7,1990-11-20
6.61,1990-11-21
6.48,1990-11-22
6.36,1990-11-23
6.25,1990-11-24
6.14,1990-11-25
6.05,1990-11-26
5.97,1990-11-27
5.85,1990-11-28
5.74,1990-11-29
5.63,1990-11-30
5.54,1990-12-01
5.46,1990-12-02
5.37,1990-12-03
5.28,1990-12-04
5.2,1990-12-05
5.12,1990-12-06
5.05,1990-12-07
4.97,1990-12-08
4.89,1990-12-09
4.8,1990-12-10
4.72,1990-12-11
4.62,1990-12-12
4.54,1990-12-13
4.45,1990-12-14
4.38,1990-12-15
4.3,1990-12-16
4.24,1990-12-17
4.19,1990-12-18
4.14,1990-12-19
4.08,1990-12-20
4.02,1990-12-21
3.96,1990-12-22
3.9,1990-12-23
3.85,1990-12-24
3.78,1990-12-25
3.69,1990-12-26
3.64,1990-12-27
3.6,1990-12-28
3.56,1990-12-29
3.52,1990-12-30
