discharge,datetime
2595.0,1990-10-06
2820.0,1990-10-07
3045.0,1990-10-08
3270.0,1990-10-09
3495.0,1990-10-10
3730.0,1990-10-11
4132.0,1990-10-12
4534.0,1990-10-13
4936.0,1990-10-14
5338.0,1990-10-15
5720.0,1990-10-16
5255.0,1990-10-17
4792.0,1990-10-18
4329.0,1990-10-19
3866.0,1990-10-20
3403.0,1990-10-21
2940.0,1990-10-22
2480.0,1990-10-23
2892.0,1990-10-24
3304.0,1990-10-25
3716.0,1990-10-26
4128.0,1990-10-27
4530.0,1990-10-28
5354.0,1990-10-29
5354.0,1990-10-30
6766.0,1990-10-31
6178.0,1990-11-01
6580.0,1990-11-02
6992.0,1990-11-03
7404.0,1990-11-04
7816.0,1990-11-05
8250.0,1990-11-06
8183.0,1990-11-07
8134.0,1990-11-08
8075.0,1990-11-09
8016.0,1990-11-10
7957.0,1990-11-11
7898.0,1990-11-12
7839.0,1990-11-13
7780.0,1990-11-14
7663.0,1990-11-15
7547.0,1990-11-16
7423.0,1990-11-17
7313.0,1990-11-18
7197.0,1990-11-19
7080.0,1990-11-20
7114.0,1990-11-21
7149.0,1990-11-22
7183.0,1990-11-23
7218.0,1990-11-24
7252.0,1990-11-25
7287.0,1990-11-26
7321.0,1990-11-27
7356.0,1990-11-28
7280.0,1990-11-29
7280.0,1990-11-30
7240.0,1990-12-01
7200.0,1990-12-02
7160.0,1990-12-03
7120.0,1990-12-04
7080.0,1990-12-05
7040.0,1990-12-06
6973.0,1990-12-07
6907.0,1990-12-08
6840.0,1990-12-09
6773.0,1990-12-10
6707.0,1990-12-11
6640.0,1990-12-12
6600.0,1990-12-13
6560.0,1990-12-14
6520.0,1990-12-15
6480.0,1990-12-16
6440.0,1990-12-17
6400.0,1990-12-18
6360.0,1990-12-19
6320.0,1990-12-20
6280.0,1990-12-21
6240.0,1990-12-22
6200.0,1990-12-23
6160.0,1990-12-24
6120.0,1990-12-25
6080.0,1990-12-26
6040.0,1990-12-27
6000.0,1990-12-28
5920.0,1990-12-29
5920.0,1990-12-30
