datetime,stage
1990-07-06 00:00:00,5.61
1990-07-07 00:00:00,5.6
1990-07-08 00:00:00,5.61
1990-07-09 00:00:00,5.6
1990-07-10 00:00:00,5.52
1990-07-11 00:00:00,5.43
1990-07-12 00:00:00,5.37
1990-07-13 00:00:00,5.38
1990-07-14 00:00:00,5.43
1990-07-15 00:00:00,5.5
1990-07-16 00:00:00,5.58
1990-07-17 00:00:00,5.57
1990-07-18 00:00:00,5.51
1990-07-19 00:00:00,5.43
1990-07-20 00:00:00,5.4
1990-07-21 00:00:00,5.4
1990-07-22 00:00:00,5.49
1990-07-23 00:00:00,5.64
1990-07-24 00:00:00,5.74
1990-07-25 00:00:00,5.8
1990-07-26 00:00:00,5.77
1990-07-27 00:00:00,5.74
1990-07-28 00:00:00,5.78
1990-07-29 00:00:00,5.91
1990-07-30 00:00:00,6.1
1990-07-31 00:00:00,6.33
1990-08-01 00:00:00,6.58
1990-08-02 00:00:00,6.72
1990-08-03 00:00:00,6.84
1990-08-04 00:00:00,7.01
1990-08-05 00:00:00,7.01
1990-08-06 00:00:00,7.1
1990-08-07 00:00:00,7.22
1990-08-08 00:00:00,7.33
1990-08-09 00:00:00,7.4
1990-08-10 00:00:00,7.46
1990-08-11 00:00:00,7.48
1990-08-12 00:00:00,7.46
1990-08-13 00:00:00,7.42
1990-08-14 00:00:00,7.36
1990-08-15 00:00:00,7.34
1990-08-16 00:00:00,7.42
1990-08-17 00:00:00,7.5
1990-08-18 00:00:00,7.58
1990-08-19 00:00:00,7.58
1990-08-20 00:00:00,7.5
1990-08-21 00:00:00,7.46
1990-08-22 00:00:00,7.4
1990-08-23 00:00:00,7.32
1990-08-24 00:00:00,7.21
1990-08-25 00:00:00,7.14
1990-08-26 00:00:00,7.16
1990-08-27 00:00:00,7.27
1990-08-28 00:00:00,7.4
1990-08-29 00:00:00,7.52
1990-08-30 00:00:00,7.6
1990-08-31 00:00:00,7.67
1990-09-01 00:00:00,7.83
1990-09-02 00:00:00,8.0
1990-09-03 00:00:00,8.15
1990-09-04 00:00:00,8.27
1990-09-05 00:00:00,8.38
1990-09-06 00:00:00,8.5
1990-09-07 00:00:00,8.6
1990-09-08 00:00:00,8.64
1990-09-09 00:00:00,8.65
1990-09-10 00:00:00,8.62
1990-09-11 00:00:00,8.6
1990-09-12 00:00:00,8.57
1990-09-13 00:00:00,8.52
1990-09-14 00:00:00,8.43
1990-09-15 00:00:00,8.36
1990-09-16 00:00:00,8.33
1990-09-17 00:00:00,8.33
1990-09-18 00:00:00,8.34
1990-09-19 00:00:00,8.36
1990-09-20 00:00:00,8.33
1990-09-21 00:00:00,8.33
1990-09-22 00:00:00,8.34
1990-09-23 00:00:00,8.41
1990-09-24 00:00:00,8.44
1990-09-25 00:00:00,8.5
1990-09-26 00:00:00,8.54
