stage,datetime,discharge,log_stage,log_discharge
5.26,1981-06-11,14727.0,0.7209857441537391,4.168114286819532
5.48,1981-06-12,15879.0,0.7387805584843692,4.20082314871093
5.62,1981-06-13,16629.0,0.7497363155690611,4.220866133312124
5.68,1981-06-14,16964.0,0.7543483357110189,4.229528263787672
5.98,1981-06-15,18668.0,0.7767011839884109,4.271097792213118
6.57,1981-06-16,22221.0,0.8175653695597808,4.346763599371257
7.4,1981-06-17,27690.0,0.8692317197309762,4.442322955745574
7.79,1981-06-18,30461.0,0.8915374576725644,4.4837441566281635
7.87,1981-06-19,31029.0,0.8959747323590646,4.491767779403694
7.93,1981-06-20,31467.0,0.8992731873176038,4.497855340131178
7.55,1981-06-21,28756.0,0.8779469516291882,4.458728474939497
8.29,1981-06-22,34164.0,0.9185545305502735,4.53356871319458
8.32,1981-06-23,34391.0,0.9201233262907239,4.536444804149078
8.4,1981-06-24,35005.0,0.9242792860618817,4.544130081987965
8.45,1981-06-25,35392.0,0.9268567089496923,4.548905105288585
8.43,1981-06-26,35238.0,0.9258275746247423,4.547011251226601
8.25,1981-06-27,33861.0,0.9164539485499251,4.529699779764321
7.97,1981-06-28,31763.0,0.9014583213961124,4.501921514596225
7.74,1981-06-29,30106.0,0.8887409606828927,4.478653057295336
7.91,1981-06-30,31320.0,0.8981764834976765,4.495821753385906
7.05,1981-07-01,25314.0,0.8481891169913987,4.403360775765525
6.52,1981-07-02,21909.0,0.8142475957319202,4.340622555361112
6.45,1981-07-03,21481.0,0.8095597146352678,4.332054495108195
6.35,1981-07-04,20869.0,0.8027737252919757,4.319501639056495
6.37,1981-07-05,20991.0,0.8041394323353505,4.322033128631803
6.55,1981-07-06,22092.0,0.8162412999917831,4.344235034551639
7.11,1981-07-07,25713.0,0.8518696007297664,4.410152749822068
7.59,1981-07-08,29040.0,0.8802417758954804,4.462996612028056
7.86,1981-07-09,30958.0,0.895422546039408,4.490772895905551
8.08,1981-07-10,32579.0,0.9074113607745862,4.512937749673316
8.2,1981-07-11,33482.0,0.9138138523837167,4.5248113920637945
8.3,1981-07-12,34240.0,0.919078092376074,4.534533756005116
8.37,1981-07-13,34774.0,0.92272545799326,4.541254649786259
8.4,1981-07-14,35005.0,0.9242792860618817,4.544130081987965
8.45,1981-07-15,35392.0,0.9268567089496923,4.548905105288585
8.45,1981-07-16,35392.0,0.9268567089496923,4.548905105288585
8.44,1981-07-17,35315.0,0.926342446625655,4.547959210587186
8.43,1981-07-18,35238.0,0.9258275746247423,4.547011251226601
8.33,1981-07-19,34472.0,0.9206450014067876,4.537466481080311
