discharge,datetime
1810.0,1965-10-07
1460.0,1965-10-08
1340.0,1965-10-09
1210.0,1965-10-10
1070.0,1965-10-11
1120.0,1965-10-12
1090.0,1965-10-13
950.0,1965-10-14
885.0,1965-10-15
850.0,1965-10-16
835.0,1965-10-17
870.0,1965-10-18
1290.0,1965-10-19
1260.0,1965-10-20
1230.0,1965-10-21
1190.0,1965-10-22
1100.0,1965-10-23
960.0,1965-10-24
830.0,1965-10-25
805.0,1965-10-26
760.0,1965-10-27
650.0,1965-10-28
760.0,1965-10-29
700.0,1965-10-30
650.0,1965-10-31
610.0,1965-11-01
560.0,1965-11-02
501.0,1965-11-03
474.0,1965-11-04
456.0,1965-11-05
438.0,1965-11-06
434.0,1965-11-07
411.0,1965-11-08
407.0,1965-11-09
375.0,1965-11-10
366.0,1965-11-11
429.0,1965-11-12
420.0,1965-11-13
397.0,1965-11-14
362.0,1965-11-15
335.0,1965-11-16
322.0,1965-11-17
322.0,1965-11-18
314.0,1965-11-19
339.0,1965-11-20
322.0,1965-11-21
322.0,1965-11-22
420.0,1965-11-23
1020.0,1965-11-24
880.0,1965-11-25
560.0,1965-11-26
438.0,1965-11-27
465.0,1965-11-28
560.0,1965-11-29
610.0,1965-11-30
585.0,1965-12-01
520.0,1965-12-02
456.0,1965-12-03
384.0,1965-12-04
362.0,1965-12-05
326.0,1965-12-06
352.0,1965-12-07
330.0,1965-12-08
322.0,1965-12-09
310.0,1965-12-10
298.0,1965-12-11
318.0,1965-12-12
330.0,1965-12-13
290.0,1965-12-14
280.0,1965-12-15
272.0,1965-12-16
255.0,1965-12-17
247.0,1965-12-18
276.0,1965-12-19
540.0,1965-12-20
487.0,1965-12-21
420.0,1965-12-22
375.0,1965-12-23
302.0,1965-12-24
352.0,1965-12-25
326.0,1965-12-26
310.0,1965-12-27
298.0,1965-12-28
290.0,1965-12-29
237.0,1965-12-30
241.0,1965-12-31
220.0,1966-01-01
269.0,1966-01-02
330.0,1966-01-03
255.0,1966-01-04
234.0,1966-01-05
227.0,1966-01-06
220.0,1966-01-07
220.0,1966-01-08
227.0,1966-01-09
208.0,1966-01-10
208.0,1966-01-11
202.0,1966-01-12
196.0,1966-01-13
190.0,1966-01-14
184.0,1966-01-15
184.0,1966-01-16
178.0,1966-01-17
172.0,1966-01-18
172.0,1966-01-19
169.0,1966-01-20
172.0,1966-01-21
160.0,1966-01-22
169.0,1966-01-23
190.0,1966-01-24
214.0,1966-01-25
190.0,1966-01-26
202.0,1966-01-27
190.0,1966-01-28
172.0,1966-01-29
155.0,1966-01-30
155.0,1966-01-31
155.0,1966-02-01
150.0,1966-02-02
142.0,1966-02-03
145.0,1966-02-04
145.0,1966-02-05
148.0,1966-02-06
160.0,1966-02-07
184.0,1966-02-08
208.0,1966-02-09
190.0,1966-02-10
166.0,1966-02-11
160.0,1966-02-12
152.0,1966-02-13
148.0,1966-02-14
145.0,1966-02-15
138.0,1966-02-16
135.0,1966-02-17
135.0,1966-02-18
131.0,1966-02-19
131.0,1966-02-20
131.0,1966-02-21
131.0,1966-02-22
127.0,1966-02-23
129.0,1966-02-24
131.0,1966-02-25
131.0,1966-02-26
131.0,1966-02-27
135.0,1966-02-28
127.0,1966-03-01
127.0,1966-03-02
127.0,1966-03-03
127.0,1966-03-04
127.0,1966-03-05
123.0,1966-03-06
123.0,1966-03-07
123.0,1966-03-08
123.0,1966-03-09
123.0,1966-03-10
123.0,1966-03-11
119.0,1966-03-12
117.0,1966-03-13
119.0,1966-03-14
119.0,1966-03-15
115.0,1966-03-16
112.0,1966-03-17
123.0,1966-03-18
127.0,1966-03-19
131.0,1966-03-20
150.0,1966-03-21
155.0,1966-03-22
145.0,1966-03-23
119.0,1966-03-24
115.0,1966-03-25
123.0,1966-03-26
131.0,1966-03-27
131.0,1966-03-28
127.0,1966-03-29
129.0,1966-03-30
129.0,1966-03-31
115.0,1966-04-01
115.0,1966-04-02
115.0,1966-04-03
119.0,1966-04-04
119.0,1966-04-05
125.0,1966-04-06
145.0,1966-04-07
133.0,1966-04-08
127.0,1966-04-09
115.0,1966-04-10
125.0,1966-04-11
125.0,1966-04-12
121.0,1966-04-13
115.0,1966-04-14
